R_um,f_t0min,f_t10min,f_t20min,f_t30min,f_t40min,f_t50min,f_t60min
5.892740926157697068e+00,4.928761180210841889e-07,5.021091718067694988e-07,3.570791348908988253e-07,2.457938101363331651e-07,1.757067829501422444e-07,1.733986474424690142e-07,1.646114516951680517e-07
5.942678347934918115e+00,5.186465471518893888e-07,5.170398588433807966e-07,3.667182465814533710e-07,2.522308319767915387e-07,1.806515136126546184e-07,1.788032898888222764e-07,1.693489501943931818e-07
5.992615769712140050e+00,5.454242607292926323e-07,5.323576545215549228e-07,3.765749415643656316e-07,2.588065731653971413e-07,1.857448728231529565e-07,1.843785335673463072e-07,1.742169802117748709e-07
6.042553191489361097e+00,5.732270251777874111e-07,5.480705036935592941e-07,3.866534284385133298e-07,2.655237059458566562e-07,1.909945100050013523e-07,1.901304615409898325e-07,1.792197420358918597e-07
6.092490613266583033e+00,6.020715530260210236e-07,5.641863434301109896e-07,3.969579630825816871e-07,2.723849595174130904e-07,1.964087390356915876e-07,1.960653809471490961e-07,1.843616109047081699e-07
6.142428035043804080e+00,6.319734064863137303e-07,5.807130885681841374e-07,4.074928463511599599e-07,2.793931243039948497e-07,2.019966036091789965e-07,2.021898303993830803e-07,1.896471462773679573e-07
6.192365456821026015e+00,6.629468998257579327e-07,5.976586164244362737e-07,4.182624215283377359e-07,2.865510573191150615e-07,2.077679481018347822e-07,2.085105878527414373e-07,1.950811017186366961e-07
6.242302878598247062e+00,6.950050008421401098e-07,6.150307505681381277e-07,4.292710715263039738e-07,2.938616889376482617e-07,2.137334940921312352e-07,2.150346790390877314e-07,2.006684354445805919e-07
6.292240300375468998e+00,7.281592317776197551e-07,6.328372435233745631e-07,4.405232158161369895e-07,3.013280314743612839e-07,2.199049225955170661e-07,2.217693866003660502e-07,2.064143215826528525e-07
6.342177722152690045e+00,7.624195700219952709e-07,6.510857582669889208e-07,4.520233070776245600e-07,3.089531900834712339e-07,2.262949619574818546e-07,2.287222600720535906e-07,2.123241622044623661e-07
6.392115143929911980e+00,7.977943489754868125e-07,6.697838484164439489e-07,4.637758275545631554e-07,3.167403766410291910e-07,2.329174811936407496e-07,2.359011268961278468e-07,2.184036001952106604e-07
6.442052565707133027e+00,8.342901594579743919e-07,6.889389370672459281e-07,4.757852851015561236e-07,3.246929274621836412e-07,2.397875883692609335e-07,2.433141046727355210e-07,2.246585330301809488e-07
6.491989987484354963e+00,8.719117520675569453e-07,7.085582943427224399e-07,4.880562089078698179e-07,3.328143259507011435e-07,2.469217333650361311e-07,2.509696148922711830e-07,2.310951275358534008e-07
6.541927409261576898e+00,9.106619409058391885e-07,7.286490138498695775e-07,5.005931448834709622e-07,3.411082315943056363e-07,2.543378140739047871e-07,2.588763984245231286e-07,2.377198357213110208e-07
6.591864831038797945e+00,9.505415091005156610e-07,7.492179883724299995e-07,5.134006506920456711e-07,3.495785171265869610e-07,2.620552847083173766e-07,2.670435330785496456e-07,2.445394117747357989e-07
6.641802252816019880e+00,9.915491165673352873e-07,7.702718852452467796e-07,5.264832904157348977e-07,3.582293161999854377e-07,2.700952644623496411e-07,2.754804535854800039e-07,2.515609303301196523e-07
6.691739674593240927e+00,1.033681210463329323e-06,7.918171219063808843e-07,5.398456288367424790e-07,3.670650845869128071e-07,2.784806442638107901e-07,2.841969743957496735e-07,2.587918061210192929e-07
6.741677096370462863e+00,1.076931938791148716e-06,8.138598420838384402e-07,5.534922253222760646e-07,3.760906787877874916e-07,2.872361887661072729e-07,2.932033157214719723e-07,2.662398151514708233e-07
6.791614518147683910e+00,1.121293067620256934e-06,8.364058929252971346e-07,5.674276273019348607e-07,3.853114570256457672e-07,2.963886300704861403e-07,3.025101332925628305e-07,2.739131175293029742e-07
6.841551939924905845e+00,1.166753902394600101e-06,8.594608031293459503e-07,5.816563633314720210e-07,3.947334090082642023e-07,3.059667489450180248e-07,3.121285523305379496e-07,2.818202821243149317e-07
6.891489361702126892e+00,1.213301213797927851e-06,8.830297618195662295e-07,5.961829357448696976e-07,4.043633226141135867e-07,3.160014385346616479e-07,3.220702062750632865e-07,2.899703132334725276e-07
6.941426783479348828e+00,1.260919168647260799e-06,9.071175975707361509e-07,6.110118129094192782e-07,4.142089978947918569e-07,3.265257447661870070e-07,3.323472808236905337e-07,2.983726794577863361e-07
6.991364205256569875e+00,1.309589266281799974e-06,9.317287567006699219e-07,6.261474211182054532e-07,4.242795215831146806e-07,3.375748768872222027e-07,3.429725638630548266e-07,3.070373450213404451e-07
7.041301627033791810e+00,1.359290280908962650e-06,9.568672797065613151e-07,6.415941361844216627e-07,4.345856187612087254e-07,3.491861809044203611e-07,3.539595018784703278e-07,3.159748037925646479e-07
7.091239048811012857e+00,1.409998210360966179e-06,9.825367745344887015e-07,6.573562748473956244e-07,4.451401025870603514e-07,3.613990681897894324e-07,3.653222634269481168e-07,3.251961163019233254e-07
7.141176470588234793e+00,1.461686231704564594e-06,1.008740385180676401e-06,6.734380861694259314e-07,4.559584480990486409e-07,3.742548913229622942e-07,3.770758102451850488e-07,3.347129500894569675e-07
7.191113892365456728e+00,1.514324664132988991e-06,1.035480753919191509e-06,6.898437432093246190e-07,4.670595221773138153e-07,3.877967594788571207e-07,3.892359765388575566e-07,3.445376237609653936e-07
7.241051314142677775e+00,1.567880939552962854e-06,1.062759975342081863e-06,7.065773354265447080e-07,4.784665087225696158e-07,4.020692865368683322e-07,4.018195569634277795e-07,3.546831551840889594e-07
